,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,label
123,2017-10-31,28.8,29.28,28.96,28.28,463277.75,-0.02,-0.07,28.08,27.197,26.898000000000003,491185.39,384513.55,375216.62,0.48,-0.006560773480662905
124,2017-10-30,27.5,29.0,28.98,27.41,676711.06,1.48,5.38,27.688000000000002,26.921999999999997,26.788,500367.43,356666.88,381704.96,0.7,0.0006901311249137189
125,2017-10-27,27.7,28.28,27.5,27.26,447443.84,-0.03,-0.11,27.078000000000003,26.655,26.645,404530.66,320496.58,384004.53,0.46,-0.053818181818181834
126,2017-10-26,27.3,27.88,27.53,26.91,422766.84,0.1,0.36,26.81,26.598000000000003,26.66,344224.97,308745.0,382786.99,0.44,0.0010897203051217267
127,2017-10-25,27.01,28.0,27.43,26.86,445727.44,0.43,1.59,26.514,26.555,26.704,300176.71,301366.28,388464.85,0.46,-0.003645643456070048
128,2017-10-24,25.81,27.2,27.0,25.81,509187.97,1.07,4.13,26.314,26.499000000000002,26.769000000000002,277841.7,299393.28,396833.27,0.52,-0.015925925925925916
129,2017-10-23,26.17,26.2,25.93,25.77,197527.2,-0.23,-0.88,26.156,26.458000000000002,26.857,212966.32,285184.61,431189.29,0.2,-0.04126494408021598
130,2017-10-20,26.0,26.23,26.16,25.73,145915.38,0.11,0.42,26.232,26.511999999999997,26.963,236462.5,336605.64,474465.08,0.15,0.008792048929663624
131,2017-10-19,26.44,26.57,26.05,26.01,202525.56,-0.38,-1.44,26.386,26.521,27.12,273265.03,356589.37,544694.1,0.21,-0.0042226487523992105
132,2017-10-18,26.21,26.56,26.43,25.61,334052.41,0.22,0.84,26.596,26.557,27.195,302555.86,362571.51,592102.62,0.34,0.014377601210745328
133,2017-10-17,26.32,26.52,26.21,26.14,184811.06,-0.1,-0.38,26.684,26.598000000000003,27.162,320944.86,365919.69,598773.19,0.19,-0.008393742846241848
134,2017-10-16,26.96,26.97,26.31,26.13,315008.09,-0.62,-2.3,26.76,26.653000000000002,27.114,357402.9,406743.04,611645.72,0.32,0.0038008361839603905
135,2017-10-13,27.2,27.58,26.93,26.81,329928.03,-0.17,-0.63,26.791999999999998,26.634,27.063000000000002,436748.77,447512.48,625033.98,0.34,0.02302265131823249
136,2017-10-12,26.99,27.2,27.1,26.72,348979.69,0.23,0.86,26.656,26.721999999999998,27.006,439913.7,456828.99,648325.97,0.36,0.006273062730627369
137,2017-10-11,26.69,27.27,26.87,26.47,425997.41,0.28,1.05,26.518,26.851999999999997,26.949,422587.16,475563.42,694605.48,0.44,-0.008559732043170839
138,2017-10-10,26.4,26.69,26.59,26.19,367101.28,0.12,0.45,26.511999999999997,27.038,26.796,410894.51,494273.26,691391.59,0.38,-0.010530274539300532
139,2017-10-09,27.45,27.65,26.47,26.24,711737.44,0.22,0.84,26.546,27.256,26.654,456083.17,577193.98,700026.17,0.73,-0.004533434076312844
140,2017-09-29,26.56,26.8,26.25,26.0,345752.69,-0.16,-0.61,26.476,27.413,26.479,458276.19,612324.53,677853.47,0.36,-0.008380952380952338
141,2017-09-28,27.0,27.15,26.41,26.4,262347.0,-0.43,-1.6,26.788,27.718000000000004,26.31,473744.28,732798.83,680919.85,0.27,0.006058311245740256
142,2017-09-27,27.0,27.28,26.84,26.52,367534.16,0.08,0.3,27.186,27.833000000000002,26.151,528539.68,821633.74,682747.18,0.38,0.01602086438152011
143,2017-09-26,26.12,27.22,26.76,26.1,593044.56,0.64,2.45,27.564,27.725,25.971,577652.0,831626.7,681230.58,0.61,-0.0029895366218235533
144,2017-09-25,27.2,27.2,26.12,26.1,722702.56,-1.69,-6.08,27.965999999999998,27.575,25.801,698304.79,816548.4,673409.03,0.74,-0.024502297090352242
145,2017-09-22,28.39,28.67,27.81,27.52,423093.12,-0.59,-2.08,28.35,27.491,25.695999999999998,766372.87,802555.49,682197.79,0.44,0.06076950737144904
146,2017-09-21,28.5,29.06,28.4,27.75,536324.0,-0.33,-1.15,28.648000000000003,27.289,25.465,991853.37,839822.95,685238.06,0.55,0.02077464788732394
147,2017-09-20,28.5,29.55,28.73,28.0,613095.75,-0.04,-0.14,28.48,27.046,25.2,1114727.8,913647.54,667446.31,0.63,0.011486251305255895
148,2017-09-19,28.27,30.1,28.77,28.1,1196308.5,0.73,2.6,27.886,26.553,24.925,1085601.4,888509.92,647902.58,1.23,0.0013903371567604848
